epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,126.421,2.25268,1.56712,1.02158,0.43025,0.40851,0.41278,0.17842,2.32793,1.77698,1.21364,0.000480773,0.000480773,0.000480773
43,128.955,2.21642,1.52026,1.02491,0.47936,0.42291,0.41497,0.18993,2.32294,1.79383,1.20138,0.000478938,0.000478938,0.000478938
44,131.52,2.21409,1.56332,1.04174,0.3822,0.43868,0.36461,0.16516,2.34725,1.78995,1.18697,0.000477104,0.000477104,0.000477104
45,134.084,2.23764,1.5411,1.01731,0.41821,0.37223,0.33345,0.1408,2.35543,1.82074,1.23195,0.000475269,0.000475269,0.000475269
46,136.69,2.15192,1.49326,1.03329,0.50218,0.32569,0.31915,0.12374,2.35833,1.80944,1.21917,0.000473434,0.000473434,0.000473434
47,139.212,2.18365,1.49646,1.03226,0.496,0.34897,0.34083,0.14113,2.33518,1.85572,1.19213,0.000471599,0.000471599,0.000471599
48,141.747,2.22579,1.51498,1.03146,0.40395,0.42223,0.37172,0.15308,2.3276,1.89029,1.18141,0.000469764,0.000469764,0.000469764
49,144.277,2.19938,1.49347,1.02611,0.39095,0.40443,0.38897,0.15972,2.32346,1.79559,1.19334,0.00046793,0.00046793,0.00046793
50,146.805,2.19496,1.47746,1.02454,0.37997,0.43978,0.40555,0.15288,2.35026,1.76903,1.19561,0.000466095,0.000466095,0.000466095
51,149.311,2.14677,1.47826,1.01812,0.49436,0.44076,0.42012,0.17084,2.31262,1.80193,1.17693,0.00046426,0.00046426,0.00046426
52,151.804,2.19263,1.43755,1.00564,0.45817,0.41834,0.39071,0.15181,2.34942,1.83076,1.206,0.000462425,0.000462425,0.000462425
53,154.313,2.16246,1.45004,1.00997,0.44352,0.45678,0.40853,0.1725,2.3155,1.87928,1.19304,0.00046059,0.00046059,0.00046059
54,157.074,2.13749,1.43537,1.01565,0.39456,0.44819,0.37427,0.17067,2.32772,1.8054,1.18075,0.000458756,0.000458756,0.000458756
55,159.545,2.18688,1.45792,1.01228,0.4674,0.46814,0.40978,0.20059,2.34747,1.80613,1.18271,0.000456921,0.000456921,0.000456921
56,162.05,2.17116,1.48766,1.03004,0.42456,0.41327,0.41288,0.18824,2.36379,1.80556,1.20202,0.000455086,0.000455086,0.000455086
57,164.53,2.22638,1.42197,0.98674,0.5375,0.35485,0.3497,0.13963,2.38041,1.86108,1.19724,0.000453251,0.000453251,0.000453251
58,166.98,2.19954,1.47597,1.029,0.48382,0.38582,0.37135,0.13851,2.36027,1.82026,1.21246,0.000451416,0.000451416,0.000451416
59,169.521,2.15223,1.45533,1.01356,0.37635,0.47442,0.38432,0.16682,2.36546,1.76332,1.21928,0.000449582,0.000449582,0.000449582
60,171.95,2.13871,1.44472,1.01808,0.44582,0.44535,0.45696,0.20137,2.30153,1.70108,1.18636,0.000447747,0.000447747,0.000447747
61,174.439,2.15032,1.39182,0.99375,0.52316,0.37149,0.43451,0.20067,2.33728,1.75911,1.18033,0.000445912,0.000445912,0.000445912
62,176.996,2.18516,1.43034,1.00143,0.52384,0.39007,0.43452,0.19475,2.32256,1.75844,1.21356,0.000444077,0.000444077,0.000444077
63,179.556,2.09441,1.34171,1.00142,0.56057,0.40307,0.46882,0.21381,2.32024,1.78448,1.19365,0.000442242,0.000442242,0.000442242
64,182.113,2.09074,1.36398,1.01307,0.49196,0.39187,0.40706,0.1664,2.33704,1.78775,1.19811,0.000440408,0.000440408,0.000440408
65,184.547,2.17838,1.38886,1.00272,0.43013,0.42931,0.4194,0.16902,2.36986,1.71778,1.21589,0.000438573,0.000438573,0.000438573
66,187.052,2.13291,1.36846,1.00175,0.48759,0.40997,0.37486,0.15772,2.42214,1.78617,1.24207,0.000436738,0.000436738,0.000436738
67,189.577,2.07481,1.3992,1.01869,0.42749,0.44003,0.39064,0.16339,2.34147,1.7884,1.22186,0.000434903,0.000434903,0.000434903
68,192.239,2.05221,1.37622,1.01736,0.39505,0.4704,0.4165,0.19383,2.31672,1.71359,1.20933,0.000433068,0.000433068,0.000433068
69,194.759,2.09492,1.36429,0.99471,0.35026,0.60609,0.44827,0.20745,2.35163,1.76098,1.2048,0.000431234,0.000431234,0.000431234
70,197.208,2.11848,1.36989,1.00729,0.3259,0.52492,0.43177,0.18172,2.33417,1.69009,1.19091,0.000429399,0.000429399,0.000429399
71,199.757,2.10099,1.34736,1.00829,0.45619,0.45359,0.44759,0.1946,2.33127,1.68883,1.18785,0.000427564,0.000427564,0.000427564
72,202.285,2.11342,1.33106,0.98953,0.42158,0.41,0.40686,0.18497,2.3571,1.73455,1.19518,0.000425729,0.000425729,0.000425729
73,204.789,2.07766,1.38334,1.01431,0.47827,0.41022,0.3925,0.18154,2.37135,1.81223,1.21379,0.000423894,0.000423894,0.000423894
74,207.311,2.08554,1.32157,0.98954,0.37142,0.50619,0.42839,0.16236,2.37129,1.7665,1.21233,0.00042206,0.00042206,0.00042206
75,209.812,2.07899,1.33487,1.00195,0.50534,0.39043,0.38275,0.14939,2.39447,1.77481,1.21376,0.000420225,0.000420225,0.000420225
76,212.405,2.07201,1.30459,0.98405,0.51731,0.33807,0.36316,0.14031,2.3817,1.78071,1.21316,0.00041839,0.00041839,0.00041839
77,215.041,2.09636,1.3411,0.99943,0.33579,0.48528,0.40015,0.16446,2.39144,1.77349,1.21309,0.000416555,0.000416555,0.000416555
78,217.57,2.02694,1.28874,0.98294,0.4296,0.50754,0.45679,0.212,2.39094,1.7025,1.21022,0.00041472,0.00041472,0.00041472
79,220.061,2.05425,1.28463,0.99349,0.48477,0.47419,0.46442,0.20451,2.3667,1.70586,1.21835,0.000412886,0.000412886,0.000412886
80,222.544,2.06584,1.28728,0.99711,0.41293,0.46195,0.44143,0.19361,2.37361,1.76484,1.22665,0.000411051,0.000411051,0.000411051
81,225.163,2.07313,1.29589,0.98726,0.47935,0.4198,0.40171,0.17125,2.37945,1.7785,1.23382,0.000409216,0.000409216,0.000409216
82,227.829,2.08888,1.30221,0.99148,0.53594,0.33664,0.40681,0.17349,2.4181,1.84625,1.24061,0.000407381,0.000407381,0.000407381
83,230.533,1.99979,1.23769,0.98976,0.55046,0.41165,0.46791,0.20733,2.34744,1.70993,1.22987,0.000405546,0.000405546,0.000405546
84,232.972,2.05645,1.30316,0.98845,0.47297,0.41458,0.43069,0.19932,2.35459,1.7217,1.21103,0.000403712,0.000403712,0.000403712
85,235.472,2.04823,1.27848,0.9895,0.46357,0.49529,0.47344,0.20524,2.35606,1.69998,1.20732,0.000401877,0.000401877,0.000401877
86,238.046,2.01647,1.29059,0.99498,0.49269,0.4946,0.47563,0.20928,2.35473,1.71592,1.21903,0.000400042,0.000400042,0.000400042
87,240.548,2.10651,1.28929,0.99342,0.53831,0.46865,0.47276,0.21926,2.32722,1.70121,1.21824,0.000398207,0.000398207,0.000398207
88,243.235,2.04246,1.30661,0.99165,0.54031,0.41097,0.47548,0.19748,2.35323,1.693,1.22777,0.000396372,0.000396372,0.000396372
89,245.797,2.04527,1.26001,0.99202,0.51868,0.47585,0.47173,0.24023,2.3587,1.72155,1.22598,0.000394538,0.000394538,0.000394538
